Study No. 1,Kayser,C major,4/4,moderate,"detaché,hand frame",4,,https://www.youtube.com/watch?v=GMtXF0YdAr8,,,Etude,Kayser - 36 Studies
Study No. 2,Kayser,F major,4/4,slow,"legato,slurs",4,,https://www.youtube.com/watch?v=MP8Xqtxbig8,,,Etude,Kayser - 36 Studies
Study No. 3,Kayser,F major,2/4,moderate,"staccato,sforzando,hand frame",4,,,,,Etude,Kayser - 36 Studies
Study No. 4,Kayser,C major,4/4,fast,"left hand articulation,slurs,accents,extensions",4,,,,,Etude,Kayser - 36 Studies
Study No. 5,Kayser,A major,6/8,fast,"staccato,hand frame",4,,,,,Etude,Kayser - 36 Studies
Study No. 6,Kayser,C minor,2/2,fast,"slurs,string crossings",4,,,,,Etude,Kayser - 36 Studies
Study No. 7,Kayser,Bb major,4/4,fast,"staccato,string crossings,extensions,arpeggios,hand frame",4,,,,,Etude,Kayser - 36 Studies
Study No. 8,Kayser,D major,3/4,fast,"slurs,string crossings",5,,,,,Etude,Kayser - 36 Studies
Study No. 9,Kayser,G major,2/4,fast,"sautillé,extensions,hand frame",5,,,,,Etude,Kayser - 36 Studies
Study No. 10,Kayser,C major,4/4,fast,"chords,string crossings,slurs",5,slurs arpeggios across 4 strings,,,,Etude,Kayser - 36 Studies
Study No. 11,Kayser,Eb major,2/4,fast,"spiccato,upbow staccato,accents,chromatic neighbors,hand frame",5,,,,,Etude,Kayser - 36 Studies
Study No. 12,Kayser,G major,4/4,fast,"string crossings,accents,slurs,extensions,sforzando,arpeggios",5,,,,,Etude,Kayser - 36 Studies
Study No. 13,Kayser,G major,3/4,moderate,"spiccato,slurs",5,"switching from slurs to spiccato, 9/8",,,,Etude,Kayser - 36 Studies
Study No. 14,Kayser,Eb major,4/4,"moderate,fast","trills,staccato,sautillé,double stops",5,,,,,Etude,Kayser - 36 Studies
Study No. 15,Kayser,Bb major,4/4,fast,"spiccato,accents,upbow staccato",5,,,,,Etude,Kayser - 36 Studies
Study No. 16,Kayser,F major,6/8,fast,"slurs,accents,string crossings,extensions",5,,,,,Etude,Kayser - 36 Studies
Study No. 17,Kayser,Bb major,5/4,moderate,"slurs,marcato",5,,,,,Etude,Kayser - 36 Studies
Study No. 18,Kayser,G major,4/4,moderate,"spiccato,accents,sforzando",5,,,,,Etude,Kayser - 36 Studies
Study No. 19,Kayser,B minor,4/4,fast,"sautillé,accents,ricochet,slurs,metrically offset slurs",5,"rhythmically offset slurs,great start for sautillé",,,,Etude,Kayser - 36 Studies
Study No. 20,Kayser,G major,2/4,moderate,"double stops,left hand pizzicato,chords",5,great for intro to double stops and LH pizz,,,,Etude,Kayser - 36 Studies
Study No. 21,Kayser,Eb major,4/4,fast,"sforzando,slurs,accents,uneven bowing patterns,chromatic neighbors",5,"uneven bowing patterns, bow distribution",,,,Etude,Kayser - 36 Studies
Study No. 22,Kayser,E major,4/4,fast,"slurs,left hand articulation,chromatic neighbors",5,maybe good prep for trills and neighbor tone alternations,,,,Etude,Kayser - 36 Studies
Study No. 23,Kayser,F minor,2/4,moderate,"hooked staccato,staccato,string crossings,accents,chromatic neighbors",5,good dotted rhythm with hooks practice,,,,Etude,Kayser - 36 Studies
Study No. 24,Kayser,G minor,4/4,fast,"sautillé,accents,arpeggios,sforzando,hand frame",5,,,,,Etude,Kayser - 36 Studies
Study No. 25,Kayser,D minor,4/4,fast,"slurs,accents,arpeggios",5,,,,,Etude,Kayser - 36 Studies
Study No. 26,Kayser,D major,2/4,fast,"sautillé,slurs",5,,,,,Etude,Kayser - 36 Studies
Study No. 27,Kayser,A major,9/8,fast,"spiccato,slurs,accents",5,also good for 9/8 and switching spicc and slurs,,,,Etude,Kayser - 36 Studies
Study No. 28,Kayser,A major,4/4,fast,"forte-piano,sforzando,uneven bowing patterns",5,,,,,Etude,Kayser - 36 Studies
Study No. 29,Kayser,C major,3/4,moderate,"spiccato,forte-piano,arpeggios,string crossings",5,,,,,Etude,Kayser - 36 Studies
Study No. 30,Kayser,D minor,3/4,fast,"left hand articulation,slurs,accents,string crossings,chromatic neighbors",5,,,,,Etude,Kayser - 36 Studies
Study No. 31,Kayser,Ab major,4/4,fast,"accents,slurs,left hand articulation,string crossings,shifting,chromatic neighbors,retain position,chromatic neighbors",5,,,,,Etude,Kayser - 36 Studies
Study No. 32,Kayser,Eb major,3/4,fast,"hooked staccato,arpeggios,staccato,shifting",5,,,,,Etude,Kayser - 36 Studies
Study No. 33,Kayser,C major,4/4,fast,"upbow staccato,accents,arpeggios",5,,,,,Etude,Kayser - 36 Studies
Study No. 34,Kayser,D major,6/4,moderate,"slurs,left hand articulation,shifting",5,,,,,Etude,Kayser - 36 Studies
Study No. 35,Kayser,B minor,3/2,fast,"slurs,accents,string crossings,arpeggios,shifting,extensions",5,,,,,Etude,Kayser - 36 Studies
Study No. 36,Kayser,A minor,4/4,fast,"octaves,string crossings,slurs",6,great for octaves and string crossing,,,,Etude,Kayser - 36 Studies
Caprice No. 1,Paganini,E major,2/4,moderate,"arpeggiated ricochet,chords,thirds,extensions",10,,,,,Etude,Paganini - 24 Caprices
Caprice No. 2,Paganini,B minor,6/8,momderate,"large string crossings,slurs,extensions,tenths,sixths,thirds",10,,,,,Etude,Paganini - 24 Caprices
Caprice No. 3,Paganini,E minor,4/4,"moderate,fast","octave trills,octaves,fingered octaves,slurs,string crossings,accents,chromatic neighbors",10,,,,,Etude,Paganini - 24 Caprices
Caprice No. 4,Paganini,C minor,2/4,"slow,moderate","thirds,tenths,octaves,sixths,string crossings,chords,spiccato",10,,,,,Etude,Paganini - 24 Caprices
Caprice No. 5,Paganini,A minor,4/4,fast,"arpeggios,ricochet,chromatic scales,extreme positions",10,,,,,Etude,Paganini - 24 Caprices
Caprice No. 6,Paganini,G minor,3/4,slow,"tremolo,extensions,sul d,sul a",9,,,,,Etude,Paganini - 24 Caprices
